Species	Unknown_disease_FRRP	Black_band_disease_FRRP	Dark_spots_FRRP	Red_band_FRRP	White_band_FRRP	White_plague_FRRP	White_spot_FRRP	Yellow_band_FRRP	Algal_infection_HICORDIS	Algal_overgrowth_HICORDIS	Black_band_disease_HICORDIS	Bleaching_HICORDIS	Ciliates_HICORDIS	Corallophila_huysmansii_HICORDIS	Cyanobacteria_HICORDIS	Discoloration_HICORDIS	Endolithic_fungal_infection_HICORDIS	Endolithic_hypermycosis_HICORDIS	Gear_entanglement_HICORDIS	Growth_anomalies_HICORDIS	Macroalgal_overgrowth_HICORDIS	No_Disease_HICORDIS	Pigmentation_response_HICORDIS	Predation_HICORDIS	Recently_denuded_skeleton_HICORDIS	Swollen_patches_HICORDIS	Tissue_loss_HICORDIS	Trematodiasis_HICORDIS	White_syndrome_HICORDIS	Total_diseased_Lamb_et_al	Total_compromised_or_bleached_Lamb_et_al	White_syndrome_Lamb_et_al	Black_band_disease_Lamb_et_al	Brown_band_Lamb_et_al	Skeletal_eroding_band_Lamb_et_al	Growth_anomalies_Lamb_et_al
MEA_Dendrogyra_cylindus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
MEA_Dichocoenia	0.142	0.118	0.047	0.0	0.0	0.402	0.0	0.0																												
MEA_Eusmilia_fastigiata	0.0	0.0	0.281	0.0	0.0	0.141	0.0	0.0																												
MEA_Meandrina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
MEA_Meandrina_meandrites	0.237	0.0	0.394	0.0	0.0	0.158	0.0	0.0																												
MER_Hydnopora																														0.031096563011456628	0.07037643207855974	0.004909983633387889	0.0	0.0	0.02618657937806874	0.0
MER_Merulina																														0.013114754098360656	0.13333333333333333	0.003278688524590164	0.0	0.0	0.009836065573770493	0.0
MUS_Acanthastrea																														0.0	0.09174311926605505	0.0	0.0	0.0	0.0	0.0
MUS_Blastomussa																														0.0	0.0	0.0	0.0	0.0	0.0	0.0
MUS_Cynarina_lacrymalis																																				
MUS_Isophyllia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
MUS_Isophyllia_sinuosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
MUS_Lobophyllia																														0.03154305200341006	0.05541346973572037	0.026854219948849106	0.00042625745950554135	0.00042625745950554135	0.0038363171355498722	0.0
MUS_Micromussa																																				
MUS_Mussa_angulosa	0.0	0.0	0.0	0.0	0.0	0.847	0.0	0.0																												
MUS_Mycetophyllia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
MUS_Mycetophyllia_aliciae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
MUS_Mycetophyllia_danaana	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
MUS_Mycetophyllia_lamarckiana	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
MUS_Scolymia	0.0	0.0	1.053	0.0	0.0	0.0	0.0	0.0																						0.0	0.013761467889908258	0.0	0.0	0.0	0.0	0.0
MUS_Scolymia_cubensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
MUS_Symphyllia																														0.0034965034965034965	0.024475524475524476	0.0	0.0	0.0	0.0034965034965034965	0.0
OCU_Galaxea																														0.0364963503649635	0.10650298606502986	0.02023888520238885	0.00033178500331785003	0.0	0.015925680159256803	0.0
OCU_Oculina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
OCU_Oculina_diffusa	0.0	0.0	0.0	0.0	0.0	0.885	0.0	0.0																												
PEC_Echinophyllia																														0.005535055350553505	0.08671586715867159	0.005535055350553505	0.0	0.0	0.0	0.0
PEC_Mycedium																														0.012048192771084338	0.040160642570281124	0.006024096385542169	0.0	0.0	0.002008032128514056	0.004016064257028112
