Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
perc_bbd,tissue_weighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.047247953,0.099632941,0.075939071,0.654757119275714 + 2.27929840864143 - -1.64070159135857,3.874426774,"lambda=1,delta=1,kappa=ML",0.321071760322559 -/+ 0.776382511869035,51.97642473,52.30074905,Model_3l_AIC,Model_3l_AICc
perc_wd,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.887612164,0.000532427,-0.025769351,3.911602891,0.000625721740620341 + 2.30586202587281 - -1.61413797412719,"lambda=1,delta=1,kappa=1",NA,5.545605566,5.86992989,,
perc_wd,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.997997169,1.68E-07,-0.026315617,3.919873519,0.00756622537289075 + 1.99370687721772 - -1.92629312278228,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.660212552184042,-25.93160302,-25.6072787,,
perc_wd,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.884059502,0.000566854,-0.025734019,3.911419101,3.915802456,"lambda=l,delta=ML,kappa=1",3 -/+ 1.95660334563349,-2.840699625,-2.5163753,,
perc_wd,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.741679162,0.002893041,-0.023346616,3.903548936,0.0107495150201215 + 2.1015773682865 - -1.8184226317135,"lambda=1,delta=1,kappa=ML",0.234102175683684 -/+ 0.584067269037181,-16.25237938,-15.92805505,Model_3l_AIC,Model_3l_AICc
perc_wd,tissue_weighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.906338403,0.000369058,-0.025937019,0.0143874635413552 + 2.08146881082768 - -1.83853118917232,3.896157993,"lambda=1,delta=1,kappa=1",NA,63.28939177,63.61371609,,
perc_wd,tissue_weighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.694154148,0.004114461,-0.022093054,0.0498641245299242 + 2.08584752010883 - -1.83415247989117,3.894386911,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.674115605924868,47.82156391,48.14588824,,
perc_wd,tissue_weighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.915593419,0.000299476,-0.026008432,0.0130195920734484 + 2.08202795749307 - -1.83797204250693,3.889653561,"lambda=l,delta=ML,kappa=1",3 -/+ 1.79483023249687,56.04597967,56.370304,,
perc_wd,tissue_weighted_unifrac_ordination_PC1,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.805428597,0.001616607,-0.02465664,3.889970787,0.00259020145383074 + 2.36815877964769 - -1.55184122035231,"lambda=1,delta=1,kappa=ML",0.430451770581682 -/+ 0.855603885547862,55.85692829,56.18125261,Model_3l_AIC,Model_3l_AICc
perc_dis,skeleton_unweighted_unifrac_ordination_PC1,581844,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.860957037,0.000776335,-0.024204256,3.918927866,0.00939139051646101 + 2.26371447583466 - -1.65628552416534,"lambda=1,delta=1,kappa=1",NA,-7.743527913,-7.435835606,,
