strategy,genus,species,full_id
Stress-Tolerant,Goniopora,fruticosa,Goniopora fruticosa
Stress-Tolerant,Goniopora,lobata,Goniopora lobata
Stress-Tolerant,Goniopora,pedunculata,Goniopora pedunculata
Stress-Tolerant,Goniopora,somaliensis,Goniopora somaliensis
Stress-Tolerant,Goniopora,tenuidens,Goniopora tenuidens
Stress-Tolerant,Halomitra,pileus,Halomitra pileus
Stress-Tolerant,Herpolitha,limax,Herpolitha limax
Stress-Tolerant,Homophyllia,bowerbanki,Homophyllia bowerbanki
Stress-Tolerant,Leptoria,irregularis,Leptoria irregularis
Stress-Tolerant,Leptoria,phrygia,Leptoria phrygia
Stress-Tolerant,Leptoseris,explanata,Leptoseris explanata
Stress-Tolerant,Leptoseris,foliosa,Leptoseris foliosa
Stress-Tolerant,Leptoseris,hawaiiensis,Leptoseris hawaiiensis
Stress-Tolerant,Leptoseris,incrustans,Leptoseris incrustans
Stress-Tolerant,Leptoseris,mycetoseroides,Leptoseris mycetoseroides
Stress-Tolerant,Leptoseris,papyracea,Leptoseris papyracea
Stress-Tolerant,Leptoseris,scabra,Leptoseris scabra
Stress-Tolerant,Leptoseris,solida,Leptoseris solida
Stress-Tolerant,Leptoseris,yabei,Leptoseris yabei
Stress-Tolerant,Lithophyllon,concinna,Lithophyllon concinna
Stress-Tolerant,Lithophyllon,repanda,Lithophyllon repanda
Stress-Tolerant,Lithophyllon,scabra,Lithophyllon scabra
Stress-Tolerant,Lithophyllon,undulatum,Lithophyllon undulatum
Stress-Tolerant,Lobactis,scutaria,Lobactis scutaria
Stress-Tolerant,Lobophyllia,agaricia,Lobophyllia agaricia
Stress-Tolerant,Lobophyllia,corymbosa,Lobophyllia corymbosa
Stress-Tolerant,Lobophyllia,hataii,Lobophyllia hataii
Stress-Tolerant,Lobophyllia,hemprichii,Lobophyllia hemprichii
Stress-Tolerant,Lobophyllia,radians,Lobophyllia radians
Stress-Tolerant,Lobophyllia,recta,Lobophyllia recta
Stress-Tolerant,Lobophyllia,robusta,Lobophyllia robusta
Stress-Tolerant,Lobophyllia,vitensis,Lobophyllia vitensis
Stress-Tolerant,Micromussa,amakusensis,Micromussa amakusensis
Stress-Tolerant,Micromussa,lordhowensis,Micromussa lordhowensis
Stress-Tolerant,Micromussa,regularis,Micromussa regularis
Stress-Tolerant,Montipora,caliculata,Montipora caliculata
Stress-Tolerant,Montipora,efflorescens,Montipora efflorescens
Stress-Tolerant,Montipora,flabellata,Montipora flabellata
Stress-Tolerant,Montipora,floweri,Montipora floweri
Stress-Tolerant,Montipora,meandrina,Montipora meandrina
Stress-Tolerant,Montipora,millepora,Montipora millepora
Stress-Tolerant,Montipora,patula,Montipora patula
Stress-Tolerant,Montipora,venosa,Montipora venosa
Stress-Tolerant,Oulophyllia,crispa,Oulophyllia crispa
Stress-Tolerant,Paragoniastrea,australensis,Paragoniastrea australensis
Stress-Tolerant,Paragoniastrea,russelli,Paragoniastrea russelli
Stress-Tolerant,Paramontastrea,annuligera,Paramontastrea annuligera
Stress-Tolerant,Paramontastrea,serageldini,Paramontastrea serageldini
Stress-Tolerant,Physogyra,lichtensteini,Physogyra lichtensteini
Stress-Tolerant,Platygyra,contorta,Platygyra contorta
Stress-Tolerant,Platygyra,daedalea,Platygyra daedalea
Stress-Tolerant,Platygyra,lamellina,Platygyra lamellina
Stress-Tolerant,Platygyra,pini,Platygyra pini
Stress-Tolerant,Platygyra,sinensis,Platygyra sinensis
Stress-Tolerant,Platygyra,verweyi,Platygyra verweyi
Stress-Tolerant,Platygyra,yaeyamaensis,Platygyra yaeyamaensis
Stress-Tolerant,Plerogyra,sinuosa,Plerogyra sinuosa
Stress-Tolerant,Plesiastrea,versipora,Plesiastrea versipora
Stress-Tolerant,Pleuractis,granulosa,Pleuractis granulosa
Stress-Tolerant,Pleuractis,paumotensis,Pleuractis paumotensis
Stress-Tolerant,Porites,annae,Porites annae
Stress-Tolerant,Porites,arnaudi,Porites arnaudi
Stress-Tolerant,Porites,australiensis,Porites australiensis
Stress-Tolerant,Porites,brighami,Porites brighami
Stress-Tolerant,Porites,evermanni,Porites evermanni
Stress-Tolerant,Porites,gabonensis,Porites gabonensis
Stress-Tolerant,Porites,lichen,Porites lichen
Stress-Tolerant,Porites,lobata,Porites lobata
Stress-Tolerant,Porites,lutea,Porites lutea
Stress-Tolerant,Porites,mayeri,Porites mayeri
Stress-Tolerant,Porites,monticulosa,Porites monticulosa
Stress-Tolerant,Porites,myrmidonensis,Porites myrmidonensis
Stress-Tolerant,Porites,profundus,Porites profundus
Stress-Tolerant,Porites,randalli,Porites randalli
Stress-Tolerant,Porites,sillimaniani,Porites sillimaniani
Stress-Tolerant,Porites,stephensoni,Porites stephensoni
Stress-Tolerant,Stylocoeniella,armata,Stylocoeniella armata
Stress-Tolerant,Stylocoeniella,guentheri,Stylocoeniella guentheri
Weedy,Pocillopora,damicornis,Pocillopora damicornis
Weedy,Porites,attenuata,Porites attenuata
Weedy,Porites,compressa,Porites compressa
Weedy,Porites,cylindrica,Porites cylindrica
Weedy,Porites,heronensis,Porites heronensis
Weedy,Porites,nigrescens,Porites nigrescens
Weedy,Porites,rus,Porites rus
Weedy,Porites,vaughani,Porites vaughani
Weedy,Seriatopora,caliendrum,Seriatopora caliendrum
Weedy,Seriatopora,hystrix,Seriatopora hystrix
Weedy,Seriatopora,stellata,Seriatopora stellata
Weedy,Stylophora,pistillata,Stylophora pistillata
