Species	Algal_Infection	Algal_overgrowth	Black_band_disease	Bleaching	Ciliates	Corallophila_huysmansii	Cyanobacteria	Discoloration	Endolithic_fungal_infection	Endolithic_hypermycosis	Gear_entanglement	Growth_anomalies	Macroalgal_overgrowth	No_Disease	Pigmentation_response	Predation	Recently_denuded_skeleton	Swollen_patches	Tissue_Loss	Trematodiasis	White_Syndrome
Porites_rus	0.016	0.008	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.008	0.0	0.8	0.136	0.008	0.0	0.0	0.016	0.0	0.0
Porites_solida	0.04807692307692308	0.10576923076923077	0.0	0.0	0.0	0.0	0.0	0.009615384615384616	0.009615384615384616	0.0	0.0	0.0	0.0	0.6923076923076923	0.08653846153846154	0.009615384615384616	0.0	0.0	0.028846153846153848	0.009615384615384616	0.0
Porites_sp.	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0
Psammocora_digitata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Psammocora_haimeana	0.009708737864077669	0.009708737864077669	0.0	0.009708737864077669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.970873786407767	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Psammocora_nierstraszi	0.0	0.014925373134328358	0.0	0.0	0.0	0.0	0.0	0.014925373134328358	0.0	0.0	0.0	0.0	0.0	0.9701492537313433	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Psammocora_stellata	0.0	0.06852248394004283	0.0	0.09635974304068523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8244111349036403	0.004282655246252677	0.006423982869379015	0.0	0.0	0.0	0.0	0.0
Sarcothelia_edmondsoni	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sinularia_densa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sponge	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zoanthus/Palythoa_sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
