Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
perc_bbd,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.689773136,0.004239419,-0.021964807,31.9261277606137 + 81.3340864383671 - 77.4140864383671,104.257011493796 + 124.827886572381 - 120.907886572381,"lambda=1,delta=1,kappa=1",NA,474.9724447,475.296769,,
perc_bbd,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.823562852,0.001324691,-0.024956238,-5.283131491,106.00598035369 + 41.2396907064487 - 37.3196907064487,"lambda=ML,delta=1,kappa=1",0.759659414531899 -/+ 0.944079765862263,434.9796375,435.3039619,,
perc_bbd,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.778940745,0.002098731,-0.024161828,20.8380449930932 + 75.6706981708003 - 71.7506981708003,105.167339802356 + 53.0219274018947 - 49.1019274018947,"lambda=l,delta=ML,kappa=1",3 -/+ 1.97704892501898,466.3863261,466.7106505,,
perc_bbd,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.894022165,0.000473089,-0.02583025,5.17153792583704 + 40.5214690115167 - 36.6014690115167,107.43695866991 + 42.395616936589 - 38.4756169365889,"lambda=1,delta=1,kappa=ML",0.163856599786908 -/+ 0.455614190205013,440.5834474,440.9077717,Model_3l_AIC,Model_3l_AICc
perc_wd,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.357973314,0.022278603,-0.003450907,-6.01972068,110.460596735085 + 123.459563111212 - 119.539563111212,"lambda=1,delta=1,kappa=1",NA,474.2411611,474.5654854,,
perc_wd,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.270466267,0.031860842,0.006383496,-8.182221928,108.753978965266 + 39.7110134757399 - 35.7910134757399,"lambda=ML,delta=1,kappa=1",0.746208267510214 -/+ 0.942904916036704,433.7507709,434.0750952,,
perc_wd,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.357116054,0.022357296,-0.003370143,-6.161175816,110.856979954035 + 51.8338378015612 - 47.9138378015612,"lambda=l,delta=ML,kappa=1",3 -/+ 1.98728445493273,465.5659232,465.8902476,,
perc_wd,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.52689744,0.010618718,-0.015417631,-2.903214936,109.17440057669 + 42.5767031864348 - 38.6567031864348,"lambda=1,delta=1,kappa=ML",0.17689811119864 -/+ 0.466243074237164,440.1828567,440.5071811,Model_3l_AIC,Model_3l_AICc
perc_dis,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.118255726,0.062991977,0.038333872,0.0115232009699059 + 1.96720958674958 - -1.95279041325042,0.151519278424591 + 2.3080843195904 - -1.6119156804096,"lambda=1,delta=1,kappa=1",NA,5.619359157,5.943683481,,
perc_dis,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.256510247,0.033746271,0.008318542,0.00583185760890118 + 1.96506229917355 - -1.95493770082645,0.181396539987051 + 1.98792273518261 - -1.93207726481739,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.506476545177992,-39.69839718,-39.37407286,,
