Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
percent_white_disease,dominance_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.267013993,0.058304691,0.013462057,3.88299813,0.180993128734885 + 2.13077940038707 - -1.78922059961293,"lambda=1,delta=1,kappa=1",NA,-21.29279403,-20.69279403,,
percent_white_disease,dominance_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.533729374,0.018708457,-0.028019712,3.902237378,0.164646877428811 + 1.98307717427409 - -1.93692282572591,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.580184330201464,-47.5148664,-46.9148664,,
percent_white_disease,dominance_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.28716197,0.053741802,0.008681888,3.884674513,0.177596207109887 + 2.03598042559092 - -1.88401957440908,"lambda=l,delta=ML,kappa=1",3 -/+ 1.65011919910128,-27.65865081,-27.05865081,,
percent_white_disease,dominance_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.831622351,0.002202166,-0.045312016,3.913368908,0.173666776161689 + 2.04204970338034 - -1.87795029661966,"lambda=1,delta=1,kappa=ML",0.271453159061873 -/+ 0.674053610198975,-33.18322256,-32.58322256,Model_3l_AIC,Model_3l_AICc
percent_skeletal_eroding_band,observed_features_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.293008132,0.052489258,0.007369699,-9.332002438,110.583933382687 + 99.1543625753282 - 95.2343625753282,"lambda=1,delta=1,kappa=1",NA,270.5277238,271.1277238,,
percent_skeletal_eroding_band,observed_features_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.408688376,0.032738176,-0.013321911,-6.123526023,100.992433150904 + 17.6744556165582 - 13.7544556165582,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.688264684752741,256.6861712,257.2861712,,
percent_skeletal_eroding_band,observed_features_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.315287783,0.047981165,0.002646935,-8.899626381,109.932039195306 + 46.1966098309544 - 42.2766098309544,"lambda=l,delta=ML,kappa=1",3 -/+ 1.39566746019772,265.2906213,265.8906213,,
percent_skeletal_eroding_band,observed_features_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.617432875,0.012092724,-0.03495048,-2.893414885,108.729267680001 + 57.1918067888905 - 53.2718067888905,"lambda=1,delta=1,kappa=ML",0.319099699559652 -/+ 0.87060990440822,264.735581,265.335581,Model_3l_AIC,Model_3l_AICc
percent_skeletal_eroding_band,gini_index_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.777569016,0.00388392,-0.043550179,0.00446443748112756 + 1.97560187952686 - -1.94439812047314,0.897681904136255 + 2.08342106259333 - -1.83657893740667,"lambda=1,delta=1,kappa=1",NA,-36.24012178,-35.64012178,,
percent_skeletal_eroding_band,gini_index_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.906849471,0.000667486,-0.046919776,0.00159826523060991 + 1.97349500332287 - -1.94650499667713,0.884060797971917 + 1.97780127014115 - -1.94219872985885,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.408558896626784,-55.33488769,-54.73488769,,
