Coral Genus,Ocean,Political Area,Site Name,Reef Name,Latitude,Longitude,N
Pocillopora,Indian,"Reunion, France",East Reunion,Saint-Leu,-21.176944,55.285833,3
Pocillopora,Indian,"Reunion, France",East Reunion,Trou d_Eau,-21.103333,55.243056,2
Pocillopora,Indian,"Reunion, France",East Reunion,Volcano,-21.166944,55.837222,3
Pocillopora,Indian,Saudi Arabia,Farasan Banks,Long,19.89028,39.96056,3
Pocillopora,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,4
Pocillopora,Indian,Singapore,Singapore,Raffles Lighthouse,1.160517,103.740444,2
Pocillopora,Pacific,Australia,Great Barrier Reef - Central Sector,Broadhurst,-18.86528,147.693611,3
Pocillopora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Big Vickie,-14.68463,145.44175,1
Pocillopora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Horseshoe,-14.68716,145.44449,3
Pocillopora,Pacific,Australia,Lord Howe Island,Far Flats,-31.5617667,159.07475,2
Pocillopora,Pacific,Australia,Lord Howe Island,North Bay,-31.52135,159.0467333,4
Pocillopora,Pacific,Panama,Las Perlas,Isla Saboga,8.6274667,-79.0547583,22
Podabacia,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,6
Porites,Indian,Australia,Ningaloo,Bills Bommie,-23.205,113.7680556,8
Porites,Indian,"Reunion, France",East Reunion,Boucan Canot,-21.0175,55.238333,3
Porites,Indian,"Reunion, France",East Reunion,Pass,-21.087222,55.220278,6
Porites,Indian,"Reunion, France",East Reunion,Trou d_Eau,-21.103333,55.243056,10
Porites,Indian,Saudi Arabia,Farasan Banks,Long,19.89028,39.96056,2
Porites,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,3
Porites,Pacific,Australia,Great Barrier Reef - Central Sector,Broadhurst,-18.86528,147.693611,3
Porites,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Lagoon entrance,-14.689414,145.468137,3
Porites,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.68344,145.46554,5
Porites,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.683931,145.466483,3
Porites,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.686768,145.4665,6
Porites,Pacific,Australia,Lord Howe Island,North Bay,-31.52135,159.0467333,7
Porites,Pacific,Panama,Las Perlas,Isla Contadora,8.6288111,-79.0417556,10
Porites,Pacific,Panama,Las Perlas,Isla Saboga,8.6274667,-79.0547583,8
Psammocora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.68344,145.46554,6
Psammocora,Pacific,Panama,Las Perlas,Isla Saboga,8.6274667,-79.0547583,8
Pseudosiderastrea,Indian,"Reunion, France",East Reunion,Arch,-21.123889,55.787778,3
Pseudosiderastrea,Indian,"Reunion, France",East Reunion,Tower,-21.025278,55.223889,3
Rhodactis,Indian,Saudi Arabia,KAUST House Reefs,Inner Fsar,22.21732,39.02624,2
Sarcophyton,Indian,"Reunion, France",East Reunion,Boucan Canot,-21.0175,55.238333,3
Scolymia,Atlantic,Colombia,Cartagena,Varadero,10.303833,-75.584667,3
Scolymia,Atlantic,Colombia,Cartagena,Varadero,10.3055,-75.585333,9
Seriatopora,Indian,Australia,Ningaloo,Bills Bay,-23.140369,113.769166,6
Seriatopora,Pacific,Australia,Lord Howe Island,North Bay,-31.52135,159.0467333,6
Siderastrea,Atlantic,Colombia,Cartagena,Varadero,10.301944,-75.586111,7
Sinularia,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,2
Stephanocoenia,Atlantic,Colombia,Cartagena,Varadero,10.301167,-75.585,15
Stichodactyla ,Indian,"Reunion, France",East Reunion,Tower,-21.025278,55.223889,1
Stylaster,Atlantic,Colombia,Cartagena,Varadero,10.303833,-75.584667,3
Stylaster,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,1
Stylophora,Indian,Saudi Arabia,Farasan Banks,Malathy Island,19.74915,39.90357,3
Stylophora,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,3
Stylophora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.68344,145.46554,5
Stylophora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.686768,145.4665,5
Stylophora,Pacific,Australia,Lord Howe Island,Far Flats,-31.5617667,159.07475,8
Stylophora,Pacific,Australia,Lord Howe Island,North Bay,-31.52135,159.0467333,1
Tubastraea,Indian,"Reunion, France",East Reunion,Arch,-21.123889,55.787778,5
Tubastraea,Indian,"Reunion, France",East Reunion,Tower,-21.025278,55.223889,3
Tubastraea,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,2
Tubastraea,Indian,Saudi Arabia,KAUST House Reefs,Inner Fsar,22.21732,39.02624,7
Tubastraea,Pacific,Panama,Las Perlas,Isla Contadora,8.6288111,-79.0417556,8
Turbinaria,Indian,"Reunion, France",East Reunion,Boucan Canot,-21.0175,55.238333,3
Turbinaria,Indian,"Reunion, France",East Reunion,Saint-Leu,-21.176667,55.285833,3
Turbinaria,Indian,"Reunion, France",East Reunion,Saint-Leu,-21.176944,55.285833,2
Turbinaria,Indian,"Reunion, France",East Reunion,Tower,-21.025278,55.223889,3
Turbinaria,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,3
Turbinaria,Indian,Saudi Arabia,KAUST House Reefs,Inner Fsar,22.21732,39.02624,3
Turbinaria,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Horseshoe,-14.68716,145.44449,6
Turbinaria,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.68344,145.46554,6
Turbinaria,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.686768,145.4665,6
Xenia,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,1
Xenia,Indian,Saudi Arabia,KAUST House Reefs,Inner Fsar,22.21732,39.02624,1
