host_genus,total,sum_dis,sum_healthy,sum_bbd,sum_comp,sum_dksp,sum_tissueloss,sum_wbd,sum_wpl,sum_wpx,sum_tissue_dksp,sum_tissue_bbd,sum_unknown,sum_wsynd,sum_growthanom,sum_ciliate,sum_fungal,sum_trematodiasis,sum_seb,sum_brb,sum_atn,percent_sum_dis,percent_sum_healthy,percent_sum_bbd,percent_sum_comp,percent_sum_dksp,percent_sum_tissueloss,percent_sum_wbd,percent_sum_wpl,percent_sum_wpx,percent_sum_tissue_dksp,percent_sum_tissue_bbd,percent_sum_unknown,percent_sum_wsynd,percent_sum_growthanom,percent_sum_ciliate,percent_sum_fungal,percent_sum_trematodiasis,percent_sum_seb,percent_sum_brb,percent_sum_atn
Psammocora,1373,170,1176,1,168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.38164603,85.65185725,0.072833212,12.23597961,0,0,0,0,0,0,0,0,0.072833212,0,0,0,0,0,0,0
Pseudodiploria,2634,34,2600,4,0,0,17,0,5,0,0,0,8,0,0,0,0,0,0,0,0,1.290812453,98.70918755,0.151860289,0,0,0.645406226,0,0.189825361,0,0,0,0.303720577,0,0,0,0,0,0,0,0
Sandolitha,59,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.96610169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarcothelia,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scolymia,417,1,413,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239808153,99.04076739,0,0,0.239808153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seriatopora,1640,84,1314,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,67,1,0,5.12195122,80.12195122,0.365853659,0,0,0,0,0,0,0,0,0,0.609756098,0,0,0,0,4.085365854,0.06097561,0
Siderastrea,52771,1962,50809,38,385,1245,67,1,15,0,1,1,207,0,0,0,0,0,0,0,0,3.717951147,96.28204885,0.072009248,0.729567376,2.359250346,0.126963673,0.00189498,0.028424703,0,0.00189498,0.00189498,0.392260901,0,0,0,0,0,0,0,0
Sinularia,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solenastrea,2059,40,2019,1,15,2,3,0,5,0,0,0,14,0,0,0,0,0,0,0,0,1.942690627,98.05730937,0.048567266,0.728508985,0.097134531,0.145701797,0,0.242836328,0,0,0,0.679941719,0,0,0,0,0,0,0,0
Sponge,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
